tree_id,tree_dbh,curb_loc,spc_common,status,health,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,postcode,nta,nta_name,latitude,longitude
388850,7,OnCurb,Japanese zelkova,Alive,Good,Yes,No,No,No,No,No,No,No,No,10019,MN15,Clinton,40.7664391,-73.99223492
365333,10,OnCurb,littleleaf linden,Alive,Poor,No,No,No,No,No,No,No,No,No,10027,MN11,Central Harlem South,40.80708535,-73.94804818
350212,4,OnCurb,Sophora,Alive,Good,No,No,No,No,No,No,No,No,No,10017,MN19,Turtle Bay-East Midtown,40.74830758,-73.97245085
363675,19,OnCurb,American elm,Alive,Good,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72131058,-73.97962416
207601,4,OnCurb,bald cypress,Alive,Good,No,No,No,No,No,No,No,No,No,10024,MN12,Upper West Side,40.78434844,-73.97329555
344277,5,OnCurb,Sophora,Alive,Good,No,No,No,No,No,No,No,No,No,10030,MN03,Central Harlem North-Polo Grounds,40.8185353,-73.93975089
365324,11,OnCurb,littleleaf linden,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN11,Central Harlem South,40.80667623,-73.94707623
365766,16,OnCurb,pin oak,Alive,Good,No,No,Yes,No,No,No,No,No,No,10035,MN34,East Harlem North,40.80476068,-73.94128205
363679,6,OnCurb,pin oak,Alive,Good,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72113987,-73.97921973
365687,7,OnCurb,pin oak,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN11,Central Harlem South,40.80720163,-73.94806373
310809,11,OffsetFromCurb,Sophora,Alive,Good,No,No,No,No,No,No,No,No,No,10036,MN15,Clinton,40.76004273,-73.99460386
365326,11,OnCurb,littleleaf linden,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN11,Central Harlem South,40.80675257,-73.9472576
